Sample	Library	ReadGroup	Platform	SequencingCenter	Date	Lane	Unit	Flavor	Encoding	Run	Genome	NucleicAcid	Patient	Type	Folder	Agilent	Location	Seqfile1	Seqfile2
PNATM-105-tumor	PNATM-105-tumor	wes.PTATM-005_PNATM-105-tumor_HV3VLDSXX_4	Illumina	MAYO	1/1/2019	4	A00583.206.HV3VLDSXX.4	150x2	33	206	grch38	exome	PNATM-105	Tumor	10	V6UTRr2	data/FastQ/10	wes.PTATM-005_PNATM-105-tumor_HV3VLDSXX_4_R1.fq.gz	wes.PTATM-005_PNATM-105-tumor_HV3VLDSXX_4_R2.fq.gz
PNATM-106-normal	PNATM-106-normal	wes.PTATM-006_PNATM-106-normal_HW3MFDSXX_4	Illumina	MAYO	1/1/2019	4	A00265.268.HW3MFDSXX.4	150x2	33	268	grch38	exome	PNATM-106	Normal	11	V6UTRr2	data/FastQ/11	wes.PTATM-006_PNATM-106-normal_HW3MFDSXX_4_R1.fq.gz	wes.PTATM-006_PNATM-106-normal_HW3MFDSXX_4_R2.fq.gz
PNATM-106-tumor	PNATM-106-tumor	wes.PTATM-006_PNATM-106-tumor_HW3MFDSXX_4	Illumina	MAYO	1/1/2019	4	A00265.268.HW3MFDSXX.4	150x2	33	268	grch38	exome	PNATM-106	Tumor	12	V6UTRr2	data/FastQ/12	wes.PTATM-006_PNATM-106-tumor_HW3MFDSXX_4_R1.fq.gz	wes.PTATM-006_PNATM-106-tumor_HW3MFDSXX_4_R2.fq.gz
PNATM-108-normal	PNATM-108-normal	wes.PTATM-008_PNATM-108-normal_HV3VLDSXX_4	Illumina	MAYO	1/1/2019	4	A00583.206.HV3VLDSXX.4	150x2	33	206	grch38	exome	PNATM-108	Normal	13	V6UTRr2	data/FastQ/13	wes.PTATM-008_PNATM-108-normal_HV3VLDSXX_4_R1.fq.gz	wes.PTATM-008_PNATM-108-normal_HV3VLDSXX_4_R2.fq.gz
PNATM-108-tumor	PNATM-108-tumor	wes.PTATM-008_PNATM-108-tumor_HW3MFDSXX_2	Illumina	MAYO	1/1/2019	2	A00265.268.HW3MFDSXX.2	150x2	33	268	grch38	exome	PNATM-108	Tumor	14	V6UTRr2	data/FastQ/14	wes.PTATM-008_PNATM-108-tumor_HW3MFDSXX_2_R1.fq.gz	wes.PTATM-008_PNATM-108-tumor_HW3MFDSXX_2_R2.fq.gz
PNATM-109-normal	PNATM-109-normal	wes.PTATM-009_PNATM-109-normal_HV3VLDSXX_4	Illumina	MAYO	1/1/2019	4	A00583.206.HV3VLDSXX.4	150x2	33	206	grch38	exome	PNATM-109	Normal	15	V6UTRr2	data/FastQ/15	wes.PTATM-009_PNATM-109-normal_HV3VLDSXX_4_R1.fq.gz	wes.PTATM-009_PNATM-109-normal_HV3VLDSXX_4_R2.fq.gz
PNATM-109-tumor	PNATM-109-tumor	wes.PTATM-009_PNATM-109-tumor_HMHKLDMXX_1	Illumina	MAYO	1/1/2019	1	A00582.199.HMHKLDMXX.1	150x2	33	199	grch38	exome	PNATM-109	Tumor	16	V6UTRr2	data/FastQ/16	wes.PTATM-009_PNATM-109-tumor_HMHKLDMXX_1_R1.fq.gz	wes.PTATM-009_PNATM-109-tumor_HMHKLDMXX_1_R2.fq.gz
PNATM-109-tumor	PNATM-109-tumor	wes.PTATM-009_PNATM-109-tumor_HMHKLDMXX_2	Illumina	MAYO	1/1/2019	2	A00582.199.HMHKLDMXX.2	150x2	33	199	grch38	exome	PNATM-109	Tumor	16	V6UTRr2	data/FastQ/16	wes.PTATM-009_PNATM-109-tumor_HMHKLDMXX_2_R1.fq.gz	wes.PTATM-009_PNATM-109-tumor_HMHKLDMXX_2_R2.fq.gz
PNATM-109-tumor	PNATM-109-tumor	wes.PTATM-009_PNATM-109-tumor_HMJHCDMXX_1	Illumina	MAYO	1/1/2019	1	A00583.207.HMJHCDMXX.1	150x2	33	207	grch38	exome	PNATM-109	Tumor	16	V6UTRr2	data/FastQ/16	wes.PTATM-009_PNATM-109-tumor_HMJHCDMXX_1_R1.fq.gz	wes.PTATM-009_PNATM-109-tumor_HMJHCDMXX_1_R2.fq.gz
PNATM-112-normal	PNATM-112-normal	wes.PTATM-012_PNATM-112-normal_HV3VLDSXX_4	Illumina	MAYO	1/1/2019	4	A00583.206.HV3VLDSXX.4	150x2	33	206	grch38	exome	PNATM-112	Normal	17	V6UTRr2	data/FastQ/17	wes.PTATM-012_PNATM-112-normal_HV3VLDSXX_4_R1.fq.gz	wes.PTATM-012_PNATM-112-normal_HV3VLDSXX_4_R2.fq.gz
PNATM-112-tumor	PNATM-112-tumor	wes.PTATM-012_PNATM-112-tumor_HW3MFDSXX_2	Illumina	MAYO	1/1/2019	2	A00265.268.HW3MFDSXX.2	150x2	33	268	grch38	exome	PNATM-112	Tumor	18	V6UTRr2	data/FastQ/18	wes.PTATM-012_PNATM-112-tumor_HW3MFDSXX_2_R1.fq.gz	wes.PTATM-012_PNATM-112-tumor_HW3MFDSXX_2_R2.fq.gz
PNATM-113-normal	PNATM-113-normal	wes.PTATM-013_PNATM-113-normal_HV3VLDSXX_4	Illumina	MAYO	1/1/2019	4	A00583.206.HV3VLDSXX.4	150x2	33	206	grch38	exome	PNATM-113	Normal	19	V6UTRr2	data/FastQ/19	wes.PTATM-013_PNATM-113-normal_HV3VLDSXX_4_R1.fq.gz	wes.PTATM-013_PNATM-113-normal_HV3VLDSXX_4_R2.fq.gz
PNATM-101-normal	PNATM-101-normal	wes.PTATM-001_PNATM-101-normal_HV3VLDSXX_4	Illumina	MAYO	1/1/2019	4	A00583.206.HV3VLDSXX.4	150x2	33	206	grch38	exome	PNATM-101	Normal	1	V6UTRr2	data/FastQ/1	wes.PTATM-001_PNATM-101-normal_HV3VLDSXX_4_R1.fq.gz	wes.PTATM-001_PNATM-101-normal_HV3VLDSXX_4_R2.fq.gz
PNATM-113-tumor	PNATM-113-tumor	wes.PTATM-013_PNATM-113-tumor_HV3VLDSXX_4	Illumina	MAYO	1/1/2019	4	A00583.206.HV3VLDSXX.4	150x2	33	206	grch38	exome	PNATM-113	Tumor	20	V6UTRr2	data/FastQ/20	wes.PTATM-013_PNATM-113-tumor_HV3VLDSXX_4_R1.fq.gz	wes.PTATM-013_PNATM-113-tumor_HV3VLDSXX_4_R2.fq.gz
